property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,Area Type,Area Size,Area Category
11247178,3348,https://www.zameen.com/Property/g_15_g_15_1_g1_5_1_flat_for_rent-11247178-3348-4.html,Flat,25000,G-15,Islamabad,Islamabad Capital,33.626439169486,72.926505804062,3,5 Marla,For Rent,3,07-04-2019,,,Marla,5.0,0-5 Marla
15079495,3330,https://www.zameen.com/Property/g_11_g_11_1_g_11_ground_portion_car_porch_park_face-15079495-3330-4.html,Lower Portion,35000,G-11,Islamabad,Islamabad Capital,33.663818,72.99526,2,5.6 Marla,For Rent,2,04-05-2019,FA Property,M. Atif Ch,Marla,5.6,5-10 Marla
14235307,8914,https://www.zameen.com/Property/lahore_allama_iqbal_road_double_storey_house_is_available_for_sale-14235307-8914-1.html,House,22500000,Allama Iqbal Road,Lahore,Punjab,31.559198,74.35116500000001,0,11 Marla,For Sale,4,02-03-2019,Good Luck Real Estate,Mr. Afzal,Marla,11.0,10-15 Marla
17314618,10030,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_19_without_key_apartment_for_sale_in_precinct_19-17314618-10030-1.html,Flat,9900000,Bahria Town Karachi,Karachi,Sindh,25.013015,67.314401,3,8 Marla,For Sale,3,07-16-2019,Jaidad Group,Muhammad Rizwan,Marla,8.0,5-10 Marla
17053999,160,https://www.zameen.com/Property/islamabad_d_12_well_built_portion_available_in_good_location-17053999-160-4.html,Upper Portion,30000,D-12,Islamabad,Islamabad Capital,33.701636,72.948532,0,4 Marla,For Rent,0,07-03-2019,Abdullah Associates,Tahir,Marla,4.0,0-5 Marla
17345383,1667,https://www.zameen.com/Property/clifton_clifton_block_5_lovely_apartment_for_sale_in_clifton_block_5-17345383-1667-1.html,Flat,35000000,Clifton,Karachi,Sindh,24.820432,67.029383,3,8.9 Marla,For Sale,3,07-17-2019,Estate Vision,Mohammed Umer,Marla,8.9,5-10 Marla
17076306,160,https://www.zameen.com/Property/islamabad_d_12_the_best_portion_for_living_purpose-17076306-160-4.html,Lower Portion,60000,D-12,Islamabad,Islamabad Capital,33.701636,72.948532,3,14 Marla,For Rent,3,07-09-2019,Prime Estate,Nadeem,Marla,14.0,10-15 Marla
16859151,3279,https://www.zameen.com/Property/f_10_f_10_4_f10_size600_lower_ground_open_3beds_rent_80000_real_pic-16859151-3279-4.html,Lower Portion,80000,F-10,Islamabad,Islamabad Capital,33.690353,73.010416,3,1.2 Kanal,For Rent,3,06-20-2019,Johar Estate,Zeeshan Iqbal,Kanal,1.2,1-5 Kanal
16242304,3309,https://www.zameen.com/Property/f_7_f_7_3_bungalow_is_available_for_rent-16242304-3309-4.html,House,250000,F-7,Islamabad,Islamabad Capital,33.727338,73.059754,6,4 Kanal,For Rent,6,05-05-2019,Property Fair Islamabad,Muhammad Bilawal,Kanal,4.0,1-5 Kanal
16795540,6837,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_13_gulistan_e_jauhar_block_13_independent_300_sq_yd_ground_plus_2_storey_house_available_for_rent__park_facing_bungalow-16795540-6837-4.html,House,210000,Gulistan-e-Jauhar,Karachi,Sindh,24.912026,67.13073299999999,10,12 Marla,For Rent,11,06-20-2019,Memon Property Expert,Asad Ali,Marla,12.0,10-15 Marla
